timestamp,exchange_Auvergne Rhone Alpes_Nouvelle Aquitaine
26/03/2021 21:30,-4000.0
26/03/2021 22:00,-4000.0
26/03/2021 22:30,-4000.0
26/03/2021 23:00,-4000.0
26/03/2021 23:30,-4000.0
26/04/2021 00:00,-4000.0
26/04/2021 00:30,-4000.0
26/04/2021 01:00,-4000.0
26/04/2021 01:30,-4000.0
26/04/2021 02:00,-4000.0
26/04/2021 02:30,-4000.0
26/04/2021 03:00,-4000.0
26/04/2021 03:30,-4000.0
26/04/2021 04:00,-4000.0
26/04/2021 04:30,-4000.0
26/04/2021 05:00,-4000.0
26/04/2021 05:30,-4000.0
26/04/2021 06:00,-4000.0
26/04/2021 06:30,-4000.0
26/04/2021 07:00,-4000.0
26/04/2021 07:30,-4000.0
26/04/2021 08:00,-4000.0
26/04/2021 08:30,-4000.0
26/04/2021 09:00,-4000.0
26/04/2021 09:30,-4000.0
26/04/2021 10:00,-4000.0
26/04/2021 10:30,-4000.0
26/04/2021 11:00,-4000.0
26/04/2021 11:30,-4000.0
26/04/2021 12:00,-4000.0
26/04/2021 12:30,-4000.0
26/04/2021 13:00,-4000.0
26/04/2021 13:30,-4000.0
26/04/2021 14:00,-4000.0
26/04/2021 14:30,-4000.0
26/04/2021 15:00,-4000.0
26/04/2021 15:30,-4000.0
26/04/2021 16:00,-4000.0
26/04/2021 16:30,-4000.0
26/04/2021 17:00,-4000.0
26/04/2021 17:30,-4000.0
26/04/2021 18:00,-4000.0
26/04/2021 18:30,-4000.0
26/04/2021 19:00,-4000.0
26/04/2021 19:30,-4000.0
26/04/2021 20:00,-4000.0
26/04/2021 20:30,-4000.0
26/04/2021 21:00,-4000.0
26/04/2021 21:30,-4000.0
26/04/2021 22:00,-4000.0
26/04/2021 22:30,-4000.0
26/04/2021 23:00,-4000.0
26/04/2021 23:30,-4000.0
26/05/2021 00:00,-4000.0
26/05/2021 00:30,-4000.0
26/05/2021 01:00,-4000.0
26/05/2021 01:30,-4000.0
26/05/2021 02:00,-4000.0
26/05/2021 02:30,-4000.0
26/05/2021 03:00,-4000.0
26/05/2021 03:30,-4000.0
26/05/2021 04:00,-4000.0
26/05/2021 04:30,-4000.0
26/05/2021 05:00,-4000.0
26/05/2021 05:30,-4000.0
26/05/2021 06:00,-4000.0
26/05/2021 06:30,-4000.0
26/05/2021 07:00,-4000.0
26/05/2021 07:30,-4000.0
26/05/2021 08:00,-4000.0
26/05/2021 08:30,-4000.0
26/05/2021 09:00,-4000.0
26/05/2021 09:30,-4000.0
26/05/2021 10:00,-4000.0
26/05/2021 10:30,-4000.0
26/05/2021 11:00,-4000.0
26/05/2021 11:30,-4000.0
26/05/2021 12:00,-4000.0
26/05/2021 12:30,-4000.0
26/05/2021 13:00,-4000.0
26/05/2021 13:30,-4000.0
26/05/2021 14:00,-4000.0
26/05/2021 14:30,-4000.0
26/05/2021 15:00,-4000.0
26/05/2021 15:30,-4000.0
26/05/2021 16:00,-4000.0
26/05/2021 16:30,-4000.0
26/05/2021 17:00,-4000.0
26/05/2021 17:30,-4000.0
26/05/2021 18:00,-4000.0
26/05/2021 18:30,-4000.0
26/05/2021 19:00,-4000.0
26/05/2021 19:30,-4000.0
26/05/2021 20:00,-4000.0
26/05/2021 20:30,-4000.0
26/05/2021 21:00,-4000.0
26/05/2021 21:30,-4000.0
26/05/2021 22:00,-4000.0
26/05/2021 22:30,-4000.0
26/05/2021 23:00,-4000.0
26/05/2021 23:30,-4000.0
26/06/2021 00:00,-4000.0
26/06/2021 00:30,-4000.0
26/06/2021 01:00,-4000.0
26/06/2021 01:30,-4000.0
26/06/2021 02:00,-4000.0
26/06/2021 02:30,-4000.0
26/06/2021 03:00,-4000.0
26/06/2021 03:30,-4000.0
26/06/2021 04:00,-4000.0
26/06/2021 04:30,-4000.0
26/06/2021 05:00,-4000.0
26/06/2021 05:30,-4000.0
26/06/2021 06:00,-4000.0
26/06/2021 06:30,-4000.0
26/06/2021 07:00,-4000.0
26/06/2021 07:30,-4000.0
26/06/2021 08:00,-4000.0
26/06/2021 08:30,-4000.0
26/06/2021 09:00,-4000.0
26/06/2021 09:30,-4000.0
26/06/2021 10:00,-4000.0
26/06/2021 10:30,-4000.0
26/06/2021 11:00,-4000.0
26/06/2021 11:30,-4000.0
26/06/2021 12:00,-4000.0
26/06/2021 12:30,-4000.0
26/06/2021 13:00,-4000.0
26/06/2021 13:30,-4000.0
26/06/2021 14:00,-4000.0
26/06/2021 14:30,-4000.0
26/06/2021 15:00,-4000.0
26/06/2021 15:30,-4000.0
26/06/2021 16:00,-4000.0
26/06/2021 16:30,-4000.0
26/06/2021 17:00,-4000.0
26/06/2021 17:30,-4000.0
26/06/2021 18:00,-4000.0
26/06/2021 18:30,-4000.0
26/06/2021 19:00,-4000.0
26/06/2021 19:30,-4000.0
26/06/2021 20:00,-4000.0
26/06/2021 20:30,-4000.0
26/06/2021 21:00,-4000.0
26/06/2021 21:30,-4000.0
26/06/2021 22:00,-4000.0
26/06/2021 22:30,-4000.0
26/06/2021 23:00,-4000.0
26/06/2021 23:30,-4000.0
26/07/2021 00:00,-4000.0
26/07/2021 00:30,-4000.0
26/07/2021 01:00,-4000.0
26/07/2021 01:30,-4000.0
26/07/2021 02:00,-4000.0
26/07/2021 02:30,-4000.0
26/07/2021 03:00,-4000.0
26/07/2021 03:30,-4000.0
26/07/2021 04:00,-4000.0
26/07/2021 04:30,-4000.0
26/07/2021 05:00,-4000.0
26/07/2021 05:30,-4000.0
26/07/2021 06:00,-4000.0
26/07/2021 06:30,-4000.0
26/07/2021 07:00,-4000.0
26/07/2021 07:30,-4000.0
26/07/2021 08:00,-4000.0
26/07/2021 08:30,-4000.0
26/07/2021 09:00,-4000.0
26/07/2021 09:30,-4000.0
26/07/2021 10:00,-4000.0
26/07/2021 10:30,-4000.0
26/07/2021 11:00,-4000.0
26/07/2021 11:30,-4000.0
26/07/2021 12:00,-4000.0
26/07/2021 12:30,-4000.0
26/07/2021 13:00,-4000.0
26/07/2021 13:30,-4000.0
26/07/2021 14:00,-4000.0
26/07/2021 14:30,-4000.0
26/07/2021 15:00,-4000.0
26/07/2021 15:30,-4000.0
26/07/2021 16:00,-4000.0
26/07/2021 16:30,-4000.0
26/07/2021 17:00,-4000.0
26/07/2021 17:30,-4000.0
26/07/2021 18:00,-4000.0
26/07/2021 18:30,-4000.0
26/07/2021 19:00,-4000.0
26/07/2021 19:30,-4000.0
26/07/2021 20:00,-4000.0
26/07/2021 20:30,-4000.0
26/07/2021 21:00,-4000.0
26/07/2021 21:30,-4000.0
26/07/2021 22:00,-4000.0
26/07/2021 22:30,-4000.0
26/07/2021 23:00,-4000.0
26/07/2021 23:30,-4000.0
26/08/2021 00:00,-4000.0
26/08/2021 00:30,-4000.0
26/08/2021 01:00,-4000.0
26/08/2021 01:30,-4000.0
26/08/2021 02:00,-4000.0
26/08/2021 02:30,-4000.0
26/08/2021 03:00,-4000.0
26/08/2021 03:30,-4000.0
26/08/2021 04:00,-4000.0
26/08/2021 04:30,-4000.0
26/08/2021 05:00,-4000.0
26/08/2021 05:30,-4000.0
26/08/2021 06:00,-4000.0
26/08/2021 06:30,-4000.0
26/08/2021 07:00,-4000.0
26/08/2021 07:30,-4000.0
26/08/2021 08:00,-4000.0
26/08/2021 08:30,-4000.0
26/08/2021 09:00,-4000.0
26/08/2021 09:30,-4000.0
26/08/2021 10:00,-4000.0
26/08/2021 10:30,-4000.0
26/08/2021 11:00,-4000.0
26/08/2021 11:30,-4000.0
26/08/2021 12:00,-4000.0
26/08/2021 12:30,-4000.0
26/08/2021 13:00,-4000.0
26/08/2021 13:30,-4000.0
26/08/2021 14:00,-4000.0
26/08/2021 14:30,-4000.0
26/08/2021 15:00,-4000.0
26/08/2021 15:30,-4000.0
26/08/2021 16:00,-4000.0
26/08/2021 16:30,-4000.0
26/08/2021 17:00,-4000.0
26/08/2021 17:30,-4000.0
26/08/2021 18:00,-4000.0
26/08/2021 18:30,-4000.0
26/08/2021 19:00,-4000.0
26/08/2021 19:30,-4000.0
26/08/2021 20:00,-4000.0
26/08/2021 20:30,-4000.0
26/08/2021 21:00,-4000.0
26/08/2021 21:30,-4000.0
26/08/2021 22:00,-4000.0
26/08/2021 22:30,-4000.0
26/08/2021 23:00,-4000.0
26/08/2021 23:30,-4000.0
26/09/2021 00:00,-4000.0
26/09/2021 00:30,-4000.0
26/09/2021 01:00,-4000.0
26/09/2021 01:30,-4000.0
26/09/2021 02:00,-4000.0
26/09/2021 02:30,-4000.0
26/09/2021 03:00,-4000.0
26/09/2021 03:30,-4000.0
26/09/2021 04:00,-4000.0
26/09/2021 04:30,-4000.0
26/09/2021 05:00,-4000.0
26/09/2021 05:30,-4000.0
26/09/2021 06:00,-4000.0
26/09/2021 06:30,-4000.0
26/09/2021 07:00,-4000.0
26/09/2021 07:30,-4000.0
26/09/2021 08:00,-4000.0
26/09/2021 08:30,-4000.0
26/09/2021 09:00,-4000.0
26/09/2021 09:30,-4000.0
26/09/2021 10:00,-4000.0
26/09/2021 10:30,-4000.0
26/09/2021 11:00,-4000.0
26/09/2021 11:30,-4000.0
26/09/2021 12:00,-4000.0
26/09/2021 12:30,-4000.0
26/09/2021 13:00,-4000.0
26/09/2021 13:30,-4000.0
26/09/2021 14:00,-4000.0
26/09/2021 14:30,-4000.0
26/09/2021 15:00,-4000.0
26/09/2021 15:30,-4000.0
26/09/2021 16:00,-4000.0
26/09/2021 16:30,-4000.0
26/09/2021 17:00,-4000.0
26/09/2021 17:30,-4000.0
26/09/2021 18:00,-4000.0
26/09/2021 18:30,-4000.0
26/09/2021 19:00,-4000.0
26/09/2021 19:30,-4000.0
26/09/2021 20:00,-4000.0
26/09/2021 20:30,-4000.0
26/09/2021 21:00,-4000.0
26/09/2021 21:30,-4000.0
26/09/2021 22:00,-4000.0
26/09/2021 22:30,-4000.0
26/09/2021 23:00,-4000.0
26/09/2021 23:30,-4000.0
26/10/2021 00:00,-4000.0
26/10/2021 00:30,-4000.0
26/10/2021 01:00,-4000.0
26/10/2021 01:30,-4000.0
26/10/2021 02:00,-4000.0
26/10/2021 02:30,-4000.0
26/10/2021 03:00,-4000.0
26/10/2021 03:30,-4000.0
26/10/2021 04:00,-4000.0
26/10/2021 04:30,-4000.0
26/10/2021 05:00,-4000.0
26/10/2021 05:30,-4000.0
26/10/2021 06:00,-4000.0
26/10/2021 06:30,-4000.0
26/10/2021 07:00,-4000.0
26/10/2021 07:30,-4000.0
26/10/2021 08:00,-4000.0
26/10/2021 08:30,-4000.0
26/10/2021 09:00,-4000.0
26/10/2021 09:30,-4000.0
26/10/2021 10:00,-4000.0
26/10/2021 10:30,-4000.0
26/10/2021 11:00,-4000.0
26/10/2021 11:30,-4000.0
26/10/2021 12:00,-4000.0
26/10/2021 12:30,-4000.0
26/10/2021 13:00,-4000.0
26/10/2021 13:30,-4000.0
26/10/2021 14:00,-4000.0
26/10/2021 14:30,-4000.0
26/10/2021 15:00,-4000.0
26/10/2021 15:30,-4000.0
26/10/2021 16:00,-4000.0
26/10/2021 16:30,-4000.0
26/10/2021 17:00,-4000.0
26/10/2021 17:30,-4000.0
26/10/2021 18:00,-4000.0
26/10/2021 18:30,-4000.0
26/10/2021 19:00,-3771.0
26/10/2021 19:30,-4000.0
26/10/2021 20:00,-3936.0
26/10/2021 20:30,-4000.0
26/10/2021 21:00,-4000.0
26/10/2021 21:30,-4000.0
26/10/2021 22:00,-4000.0
26/10/2021 22:30,-4000.0
26/10/2021 23:00,-4000.0
26/10/2021 23:30,-4000.0
26/11/2021 00:00,-3593.0
26/11/2021 00:30,-4000.0
26/11/2021 01:00,-4000.0
26/11/2021 01:30,-4000.0
26/11/2021 02:00,-4000.0
26/11/2021 02:30,-4000.0
26/11/2021 03:00,-4000.0
26/11/2021 03:30,-4000.0
26/11/2021 04:00,-4000.0
26/11/2021 04:30,-4000.0
26/11/2021 05:00,-4000.0
26/11/2021 05:30,-4000.0
26/11/2021 06:00,-4000.0
26/11/2021 06:30,-4000.0
26/11/2021 07:00,-4000.0
26/11/2021 07:30,-4000.0
26/11/2021 08:00,-4000.0
26/11/2021 08:30,-4000.0
26/11/2021 09:00,-4000.0
26/11/2021 09:30,-4000.0
26/11/2021 10:00,-4000.0
26/11/2021 10:30,-4000.0
26/11/2021 11:00,-4000.0
26/11/2021 11:30,-4000.0
26/11/2021 12:00,-4000.0
26/11/2021 12:30,-4000.0
26/11/2021 13:00,-4000.0
26/11/2021 13:30,-4000.0
26/11/2021 14:00,-4000.0
26/11/2021 14:30,-4000.0
26/11/2021 15:00,-4000.0
26/11/2021 15:30,-4000.0
26/11/2021 16:00,-4000.0
26/11/2021 16:30,-4000.0
26/11/2021 17:00,-4000.0
26/11/2021 17:30,-4000.0
26/11/2021 18:00,-4000.0
26/11/2021 18:30,-3698.0
26/11/2021 19:00,-3353.0
26/11/2021 19:30,-3572.0
26/11/2021 20:00,-4000.0
26/11/2021 20:30,-4000.0
26/11/2021 21:00,-4000.0
26/11/2021 21:30,-4000.0
26/11/2021 22:00,-4000.0
26/11/2021 22:30,-4000.0
26/11/2021 23:00,-4000.0
26/11/2021 23:30,-4000.0
26/12/2021 00:00,-4000.0
26/12/2021 00:30,-4000.0
26/12/2021 01:00,-4000.0
26/12/2021 01:30,-4000.0
26/12/2021 02:00,-4000.0
26/12/2021 02:30,-4000.0
26/12/2021 03:00,-4000.0
26/12/2021 03:30,-4000.0
26/12/2021 04:00,-4000.0
26/12/2021 04:30,-4000.0
26/12/2021 05:00,-4000.0
26/12/2021 05:30,-4000.0
26/12/2021 06:00,-4000.0
26/12/2021 06:30,-4000.0
26/12/2021 07:00,-4000.0
26/12/2021 07:30,-4000.0
26/12/2021 08:00,-4000.0
26/12/2021 08:30,-4000.0
26/12/2021 09:00,-3784.0
26/12/2021 09:30,-4000.0
26/12/2021 10:00,-4000.0
26/12/2021 10:30,-4000.0
26/12/2021 11:00,-4000.0
26/12/2021 11:30,-4000.0
26/12/2021 12:00,-4000.0
26/12/2021 12:30,-4000.0
26/12/2021 13:00,-4000.0
26/12/2021 13:30,-4000.0
26/12/2021 14:00,-4000.0
26/12/2021 14:30,-4000.0
26/12/2021 15:00,-4000.0
26/12/2021 15:30,-4000.0
26/12/2021 16:00,-4000.0
26/12/2021 16:30,-4000.0
26/12/2021 17:00,-4000.0
26/12/2021 17:30,-4000.0
26/12/2021 18:00,-4000.0
26/12/2021 18:30,-3601.0
26/12/2021 19:00,-4000.0
26/12/2021 19:30,-4000.0
26/12/2021 20:00,-4000.0
26/12/2021 20:30,-4000.0
26/12/2021 21:00,-3741.0
26/12/2021 21:30,-4000.0
26/12/2021 22:00,-4000.0
26/12/2021 22:30,-4000.0
26/12/2021 23:00,-4000.0
26/12/2021 23:30,-4000.0
27/01/2021 00:00,-4000.0
27/01/2021 00:30,-4000.0
27/01/2021 01:00,-4000.0
27/01/2021 01:30,-4000.0
27/01/2021 02:00,-4000.0
27/01/2021 02:30,-4000.0
27/01/2021 03:00,-4000.0
27/01/2021 03:30,-4000.0
27/01/2021 04:00,-4000.0
27/01/2021 04:30,-4000.0
27/01/2021 05:00,-4000.0
27/01/2021 05:30,-4000.0
27/01/2021 06:00,-4000.0
27/01/2021 06:30,-4000.0
27/01/2021 07:00,-4000.0
27/01/2021 07:30,-4000.0
27/01/2021 08:00,-4000.0
27/01/2021 08:30,-3157.0
27/01/2021 09:00,-4000.0
27/01/2021 09:30,-3218.0
27/01/2021 10:00,-4000.0
27/01/2021 10:30,-3599.0
27/01/2021 11:00,-4000.0
27/01/2021 11:30,-4000.0
27/01/2021 12:00,-4000.0
27/01/2021 12:30,-4000.0
27/01/2021 13:00,-4000.0
27/01/2021 13:30,-4000.0
27/01/2021 14:00,-4000.0
27/01/2021 14:30,-4000.0
27/01/2021 15:00,-4000.0
27/01/2021 15:30,-4000.0
27/01/2021 16:00,-4000.0
27/01/2021 16:30,-4000.0
27/01/2021 17:00,-4000.0
27/01/2021 17:30,-4000.0
27/01/2021 18:00,-4000.0
27/01/2021 18:30,-4000.0
27/01/2021 19:00,-3806.0
27/01/2021 19:30,-4000.0
27/01/2021 20:00,-3896.0
27/01/2021 20:30,-4000.0
27/01/2021 21:00,-4000.0
27/01/2021 21:30,-4000.0
27/01/2021 22:00,-4000.0
27/01/2021 22:30,-3996.0
27/01/2021 23:00,-4000.0
27/01/2021 23:30,-4000.0
27/02/2021 00:00,-4000.0
27/02/2021 00:30,-4000.0
27/02/2021 01:00,-4000.0
27/02/2021 01:30,-4000.0
27/02/2021 02:00,-4000.0
27/02/2021 02:30,-4000.0
27/02/2021 03:00,-4000.0
27/02/2021 03:30,-4000.0
27/02/2021 04:00,-4000.0
27/02/2021 04:30,-4000.0
27/02/2021 05:00,-4000.0
27/02/2021 05:30,-4000.0
27/02/2021 06:00,-4000.0
27/02/2021 06:30,-4000.0
27/02/2021 07:00,-4000.0
27/02/2021 07:30,-4000.0
27/02/2021 08:00,-4000.0
27/02/2021 08:30,-4000.0
27/02/2021 09:00,-4000.0
27/02/2021 09:30,-4000.0
27/02/2021 10:00,-4000.0
27/02/2021 10:30,-4000.0
27/02/2021 11:00,-4000.0
27/02/2021 11:30,-4000.0
27/02/2021 12:00,-4000.0
27/02/2021 12:30,-4000.0
27/02/2021 13:00,-4000.0
27/02/2021 13:30,-4000.0
27/02/2021 14:00,-4000.0
27/02/2021 14:30,-4000.0
27/02/2021 15:00,-4000.0
27/02/2021 15:30,-4000.0
27/02/2021 16:00,-4000.0
27/02/2021 16:30,-4000.0
27/02/2021 17:00,-4000.0
27/02/2021 17:30,-4000.0
27/02/2021 18:00,-4000.0
27/02/2021 18:30,-4000.0
27/02/2021 19:00,-4000.0
27/02/2021 19:30,-4000.0
27/02/2021 20:00,-4000.0
27/02/2021 20:30,-4000.0
27/02/2021 21:00,-4000.0
27/02/2021 21:30,-4000.0
27/02/2021 22:00,-4000.0
27/02/2021 22:30,-4000.0
27/02/2021 23:00,-4000.0
27/02/2021 23:30,-4000.0
27/03/2021 00:00,-4000.0
27/03/2021 00:30,-4000.0
27/03/2021 01:00,-4000.0
27/03/2021 01:30,-4000.0
27/03/2021 02:00,-4000.0
27/03/2021 02:30,-4000.0
27/03/2021 03:00,-4000.0
27/03/2021 03:30,-4000.0
27/03/2021 04:00,-4000.0
27/03/2021 04:30,-4000.0
27/03/2021 05:00,-4000.0
27/03/2021 05:30,-4000.0
27/03/2021 06:00,-4000.0
27/03/2021 06:30,-4000.0
27/03/2021 07:00,-4000.0
27/03/2021 07:30,-4000.0
27/03/2021 08:00,-4000.0
27/03/2021 08:30,-4000.0
27/03/2021 09:00,-4000.0
27/03/2021 09:30,-4000.0
27/03/2021 10:00,-4000.0
27/03/2021 10:30,-4000.0
27/03/2021 11:00,-4000.0
27/03/2021 11:30,-4000.0
27/03/2021 12:00,-4000.0
27/03/2021 12:30,-4000.0
27/03/2021 13:00,-4000.0
27/03/2021 13:30,-4000.0
27/03/2021 14:00,-4000.0
27/03/2021 14:30,-4000.0
27/03/2021 15:00,-4000.0
27/03/2021 15:30,-4000.0
27/03/2021 16:00,-4000.0
27/03/2021 16:30,-4000.0
27/03/2021 17:00,-4000.0
27/03/2021 17:30,-4000.0
27/03/2021 18:00,-4000.0
27/03/2021 18:30,-4000.0
27/03/2021 19:00,-4000.0
27/03/2021 19:30,-4000.0
27/03/2021 20:00,-4000.0
27/03/2021 20:30,-4000.0
27/03/2021 21:00,-4000.0
27/03/2021 21:30,-4000.0
27/03/2021 22:00,-4000.0
27/03/2021 22:30,-4000.0
27/03/2021 23:00,-3892.26
27/03/2021 23:30,-4000.0
27/04/2021 00:00,-4000.0
27/04/2021 00:30,-4000.0
27/04/2021 01:00,-4000.0
27/04/2021 01:30,-4000.0
27/04/2021 02:00,-4000.0
27/04/2021 02:30,-4000.0
27/04/2021 03:00,-4000.0
27/04/2021 03:30,-4000.0
27/04/2021 04:00,-4000.0
27/04/2021 04:30,-4000.0
27/04/2021 05:00,-4000.0
27/04/2021 05:30,-4000.0
27/04/2021 06:00,-4000.0
27/04/2021 06:30,-4000.0
27/04/2021 07:00,-4000.0
27/04/2021 07:30,-4000.0
27/04/2021 08:00,-4000.0
27/04/2021 08:30,-4000.0
27/04/2021 09:00,-4000.0
27/04/2021 09:30,-4000.0
27/04/2021 10:00,-4000.0
27/04/2021 10:30,-4000.0
27/04/2021 11:00,-4000.0
27/04/2021 11:30,-4000.0
27/04/2021 12:00,-4000.0
27/04/2021 12:30,-4000.0
27/04/2021 13:00,-4000.0
27/04/2021 13:30,-4000.0
27/04/2021 14:00,-4000.0
27/04/2021 14:30,-4000.0
27/04/2021 15:00,-4000.0
27/04/2021 15:30,-4000.0
27/04/2021 16:00,-4000.0
27/04/2021 16:30,-4000.0
27/04/2021 17:00,-4000.0
27/04/2021 17:30,-4000.0
27/04/2021 18:00,-4000.0
27/04/2021 18:30,-4000.0
27/04/2021 19:00,-4000.0
27/04/2021 19:30,-4000.0
27/04/2021 20:00,-4000.0
27/04/2021 20:30,-4000.0
27/04/2021 21:00,-4000.0
27/04/2021 21:30,-4000.0
27/04/2021 22:00,-4000.0
27/04/2021 22:30,-4000.0
27/04/2021 23:00,-4000.0
27/04/2021 23:30,-4000.0
27/05/2021 00:00,-4000.0
27/05/2021 00:30,-4000.0
27/05/2021 01:00,-4000.0
27/05/2021 01:30,-4000.0
27/05/2021 02:00,-4000.0
27/05/2021 02:30,-4000.0
27/05/2021 03:00,-4000.0
27/05/2021 03:30,-4000.0
27/05/2021 04:00,-4000.0
27/05/2021 04:30,-4000.0
27/05/2021 05:00,-4000.0
27/05/2021 05:30,-4000.0
27/05/2021 06:00,-4000.0
27/05/2021 06:30,-4000.0
27/05/2021 07:00,-4000.0
27/05/2021 07:30,-4000.0
27/05/2021 08:00,-4000.0
27/05/2021 08:30,-4000.0
27/05/2021 09:00,-4000.0
27/05/2021 09:30,-4000.0
27/05/2021 10:00,-4000.0
27/05/2021 10:30,-4000.0
27/05/2021 11:00,-4000.0
27/05/2021 11:30,-4000.0
27/05/2021 12:00,-4000.0
27/05/2021 12:30,-4000.0
27/05/2021 13:00,-4000.0
27/05/2021 13:30,-4000.0
27/05/2021 14:00,-4000.0
27/05/2021 14:30,-4000.0
27/05/2021 15:00,-4000.0
27/05/2021 15:30,-4000.0
27/05/2021 16:00,-4000.0
27/05/2021 16:30,-4000.0
27/05/2021 17:00,-4000.0
27/05/2021 17:30,-4000.0
27/05/2021 18:00,-4000.0
27/05/2021 18:30,-4000.0
27/05/2021 19:00,-4000.0
27/05/2021 19:30,-4000.0
27/05/2021 20:00,-4000.0
27/05/2021 20:30,-4000.0
27/05/2021 21:00,-4000.0
27/05/2021 21:30,-4000.0
27/05/2021 22:00,-4000.0
27/05/2021 22:30,-4000.0
27/05/2021 23:00,-4000.0
27/05/2021 23:30,-4000.0
27/06/2021 00:00,-4000.0
27/06/2021 00:30,-4000.0
27/06/2021 01:00,-4000.0
27/06/2021 01:30,-4000.0
27/06/2021 02:00,-4000.0
27/06/2021 02:30,-4000.0
27/06/2021 03:00,-4000.0
27/06/2021 03:30,-4000.0
27/06/2021 04:00,-4000.0
27/06/2021 04:30,-4000.0
27/06/2021 05:00,-4000.0
27/06/2021 05:30,-4000.0
27/06/2021 06:00,-4000.0
27/06/2021 06:30,-4000.0
27/06/2021 07:00,-4000.0
27/06/2021 07:30,-4000.0
27/06/2021 08:00,-4000.0
27/06/2021 08:30,-4000.0
27/06/2021 09:00,-4000.0
27/06/2021 09:30,-4000.0
27/06/2021 10:00,-4000.0
27/06/2021 10:30,-4000.0
27/06/2021 11:00,-4000.0
27/06/2021 11:30,-4000.0
27/06/2021 12:00,-4000.0
27/06/2021 12:30,-4000.0
27/06/2021 13:00,-4000.0
27/06/2021 13:30,-4000.0
27/06/2021 14:00,-4000.0
27/06/2021 14:30,-4000.0
27/06/2021 15:00,-4000.0
27/06/2021 15:30,-4000.0
27/06/2021 16:00,-4000.0
27/06/2021 16:30,-4000.0
27/06/2021 17:00,-4000.0
27/06/2021 17:30,-4000.0
27/06/2021 18:00,-4000.0
27/06/2021 18:30,-4000.0
27/06/2021 19:00,-4000.0
27/06/2021 19:30,-4000.0
27/06/2021 20:00,-4000.0
27/06/2021 20:30,-4000.0
27/06/2021 21:00,-4000.0
27/06/2021 21:30,-4000.0
27/06/2021 22:00,-4000.0
27/06/2021 22:30,-4000.0
27/06/2021 23:00,-4000.0
27/06/2021 23:30,-4000.0
27/07/2021 00:00,-4000.0
27/07/2021 00:30,-4000.0
27/07/2021 01:00,-4000.0
27/07/2021 01:30,-4000.0
27/07/2021 02:00,-4000.0
27/07/2021 02:30,-4000.0
27/07/2021 03:00,-4000.0
27/07/2021 03:30,-4000.0
27/07/2021 04:00,-4000.0
27/07/2021 04:30,-4000.0
27/07/2021 05:00,-4000.0
27/07/2021 05:30,-4000.0
27/07/2021 06:00,-4000.0
27/07/2021 06:30,-4000.0
27/07/2021 07:00,-4000.0
27/07/2021 07:30,-4000.0
27/07/2021 08:00,-4000.0
27/07/2021 08:30,-4000.0
27/07/2021 09:00,-4000.0
27/07/2021 09:30,-4000.0
27/07/2021 10:00,-4000.0
27/07/2021 10:30,-4000.0
27/07/2021 11:00,-4000.0
27/07/2021 11:30,-4000.0
27/07/2021 12:00,-4000.0
27/07/2021 12:30,-4000.0
27/07/2021 13:00,-4000.0
27/07/2021 13:30,-4000.0
27/07/2021 14:00,-4000.0
27/07/2021 14:30,-4000.0
27/07/2021 15:00,-4000.0
27/07/2021 15:30,-4000.0
27/07/2021 16:00,-4000.0
27/07/2021 16:30,-4000.0
27/07/2021 17:00,-4000.0
27/07/2021 17:30,-4000.0
27/07/2021 18:00,-4000.0
27/07/2021 18:30,-4000.0
27/07/2021 19:00,-4000.0
27/07/2021 19:30,-4000.0
27/07/2021 20:00,-4000.0
27/07/2021 20:30,-4000.0
27/07/2021 21:00,-4000.0
27/07/2021 21:30,-4000.0
27/07/2021 22:00,-4000.0
27/07/2021 22:30,-4000.0
27/07/2021 23:00,-4000.0
27/07/2021 23:30,-4000.0
27/08/2021 00:00,-4000.0
27/08/2021 00:30,-4000.0
27/08/2021 01:00,-4000.0
27/08/2021 01:30,-4000.0
27/08/2021 02:00,-4000.0
27/08/2021 02:30,-4000.0
27/08/2021 03:00,-4000.0
27/08/2021 03:30,-4000.0
27/08/2021 04:00,-4000.0
27/08/2021 04:30,-4000.0
27/08/2021 05:00,-4000.0
27/08/2021 05:30,-4000.0
27/08/2021 06:00,-4000.0
27/08/2021 06:30,-4000.0
27/08/2021 07:00,-4000.0
27/08/2021 07:30,-4000.0
27/08/2021 08:00,-4000.0
27/08/2021 08:30,-4000.0
27/08/2021 09:00,-4000.0
27/08/2021 09:30,-4000.0
27/08/2021 10:00,-4000.0
27/08/2021 10:30,-4000.0
27/08/2021 11:00,-4000.0
27/08/2021 11:30,-4000.0
27/08/2021 12:00,-4000.0
27/08/2021 12:30,-4000.0
27/08/2021 13:00,-4000.0
27/08/2021 13:30,-4000.0
27/08/2021 14:00,-4000.0
27/08/2021 14:30,-4000.0
27/08/2021 15:00,-4000.0
27/08/2021 15:30,-4000.0
27/08/2021 16:00,-4000.0
27/08/2021 16:30,-4000.0
27/08/2021 17:00,-4000.0
27/08/2021 17:30,-4000.0
27/08/2021 18:00,-4000.0
27/08/2021 18:30,-4000.0
27/08/2021 19:00,-4000.0
27/08/2021 19:30,-4000.0
27/08/2021 20:00,-4000.0
27/08/2021 20:30,-4000.0
27/08/2021 21:00,-4000.0
27/08/2021 21:30,-4000.0
27/08/2021 22:00,-4000.0
27/08/2021 22:30,-4000.0
27/08/2021 23:00,-4000.0
27/08/2021 23:30,-4000.0
